slug,title,description,category,type,tags,code,created_at,updated_at
docker-basics,"Docker の基本","Docker の概念と最初のコマンド紹介","docker","howto","docker;container;intro","docker run hello-world","2025-01-01","2025-01-01"
astro-routing,"Astro のルーティング","ファイルベースルーティングの仕組み","astro","snippet","astro;routing","// src/pages/about.astro を作成で /about にルーティング","2025-01-01","2025-01-01"
wsl-setup,"WSL セットアップ","WSL2 を導入するための最小手順","wsl","howto","wsl;windows","wsl --install","2025-01-01","2025-01-01"
tailwind-config,"TailwindCSS 基本設定","Astro + Tailwind の導入","astro","howto","tailwind;css","npx astro add tailwind","2025-01-01","2025-01-01"
pnpm-basic,"pnpm 基本コマンド","install / add / remove を理解する","node","tips","pnpm;node","pnpm install","2025-01-01","2025-01-01"
git-checkout,"ブランチ切り替え","別ブランチへ移動する基本","git","howto","git;branch","git checkout feature/new-ui","2025-01-02","2025-01-02"
git-create-branch,"新規ブランチ作成","作業用ブランチを作成","git","howto","git;branch","git checkout -b feature/api","2025-01-02","2025-01-02"
node-version,"Node バージョン確認","現在の Node.js バージョン表示","node","tips","node;version","node -v","2025-01-02","2025-01-02"
astro-fetch,"Astro でデータ取得","server 側で fetch を使う","astro","snippet","astro;fetch","const res = await fetch('https://example.com')","2025-01-02","2025-01-02"
astro-components,"Astro コンポーネント",".astro コンポーネントの使い方","astro","howto","astro;component","<Component prop=\"value\" />","2025-01-02","2025-01-02"
css-center,"中央揃え","Flex で中央配置","css","snippet","css;flex","display: flex; align-items: center; justify-content: center;","2025-01-02","2025-01-02"
js-map,"配列 map","map で配列を変換","js","snippet","js;array","const doubled = list.map(n => n * 2)","2025-01-02","2025-01-02"
js-filter,"配列 filter","filter で条件に合う要素を抽出","js","snippet","js;array","const active = items.filter(item => item.active)","2025-01-02","2025-01-02"
ts-type-guard,"型ガード","typeof を使った型ガード","ts","snippet","ts;type-guard","if (typeof value === 'string') { /* ... */ }","2025-01-02","2025-01-02"
ts-interface,"interface 定義","基本的な interface の作り方","ts","howto","ts;interface","interface User { id: string; name: string }","2025-01-02","2025-01-02"
docker-build,"Docker build","Dockerfile からイメージ作成","docker","howto","docker;build","docker build -t my-app .","2025-01-02","2025-01-02"
docker-compose-up,"docker compose up","Compose で起動","docker","tips","docker;compose","docker compose up -d","2025-01-02","2025-01-02"
wsl-list,"WSL 一覧","インストール済みディストリ確認","wsl","tips","wsl;list","wsl -l -v","2025-01-02","2025-01-02"
astro-layout,"Astro レイアウト","layout を使って共通化","astro","howto","astro;layout","---\nimport BaseLayout from '../layouts/BaseLayout.astro'\n---","2025-01-02","2025-01-02"
astro-props,"Astro props","props を受け取る","astro","snippet","astro;props","const { title } = Astro.props","2025-01-02","2025-01-02"
react-use-state,"useState 基本","状態管理の基本","react","snippet","react;hooks","const [count, setCount] = useState(0)","2025-01-02","2025-01-02"
react-use-effect,"useEffect 基本","副作用処理の基本","react","snippet","react;hooks","useEffect(() => { /* ... */ }, [])","2025-01-02","2025-01-02"
css-grid,"Grid レイアウト","Grid で2列レイアウト","css","snippet","css;grid","display: grid; grid-template-columns: 1fr 1fr;","2025-01-02","2025-01-02"
cli-mkdir,"ディレクトリ作成","mkdir で作成","cli","tips","cli;mkdir","mkdir -p projects/app","2025-01-02","2025-01-02"
cli-copy,"ファイルコピー","cp でコピー","cli","tips","cli;cp","cp source.txt backup.txt","2025-01-02","2025-01-02"
